title,price,publisher,author,discount,url,source,page
Paraf Yayınları Paraf Z Takım TYT Coğrafya Garanti Konular Video Soru Bankası,235.0,PARAF Yayınları,Kolektif,0,https://www.bkmkitap.com/paraf-yayinlari-paraf-z-takim-tyt-cografya-garanti-konular-video-soru-bankasi,bkmkitap.com,1
PRF Yayınları Coğrafyanın Kodları Paraf Z Takımı TYT Coğrafya Soru Bankası,315.0,PARAF Yayınları,Kolektif,0,https://www.bkmkitap.com/cografyanin-kodlari-paraf-z-takimi-tyt-cografya-soru-bankasi,bkmkitap.com,1
PRF Yayınları Fizikfinito Paraf Z Takımı TYT Fizik Video Ders Anlatım Kitabı,315.0,PARAF Yayınları,Kolektif,0,https://www.bkmkitap.com/fizikfinito-paraf-z-takimi-tyt-fizik-video-ders-anlatim-kitabi,bkmkitap.com,1
2025 Paragraf Sıfır Risk,269.08,Üç Dört Beş Yayınları,Hamza Kaya,38,https://www.bkmkitap.com/2024-tyt-paragraf-sifir-risk-soru-bankasi-video-cozumlu-uc-dort-bes-yayinlari,bkmkitap.com,1
3D Yayınları 2023 TYT Türkçe Soru Bankası,294.0,3D Yayınları,Asiye Karagöz,30,https://www.bkmkitap.com/2023-tyt-turkce-soru-bankasi-3d-yayinlari,bkmkitap.com,1
Üç Dört Beş Yayınları 2025 TYT Matematik Soru Bankası,272.18,Üç Dört Beş Yayınları,Mehmet Kıvrak,38,https://www.bkmkitap.com/tyt-matematik-soru-bankasi-uc-dort-bes-yayincilik,bkmkitap.com,1
Palme Yayıncılık - Bayilik Palme YKS TYT Biyoloji Soru Kitabı,209.3,Palme Yayıncılık,Banu Karaağaç,30,https://www.bkmkitap.com/tyt-biyoloji-soru-kitabi-palme-yayinlari,bkmkitap.com,1
Rehber Matematik 49 Günde TYT Matematik Kampı,284.0,Rehber Matematik,Kolektif,0,https://www.bkmkitap.com/rehber-matematik-49-gunde-tyt-matematik-kampi-826744,bkmkitap.com,1
TYT Sosyal Bilimler Konu Özeti,148.75,Apotemi Yayınları,Kolektif,15,https://www.bkmkitap.com/tyt-sosyal-bilimler-konu-ozeti-apotemi-yayinlari-573069,bkmkitap.com,1
Hız ve Renk Yayınları TYT AYT KPSS ALES DGS Paragraf Hız Soruları,185.49,Hız ve Renk Yayınları,Göksu Çetin,19,https://www.bkmkitap.com/tyt-ayt-kpss-ales-dgs-paragraf-hiz-sorulari-hiz-ve-renk-yayinlari,bkmkitap.com,1
